id,gender
nm0334283,1
nm0000230,1
nm0457090,1
nm0642145,1
nm0857806,1
nm0001724,1
nm0172287,1
nm0000609,1
nm0105422,1
nm0780546,1
nm0001800,1
nm0001727,1
nm0000110,1
nm0291821,1
nm8928696,1
nm0001558,1
nm0136853,1
nm0329433,1
nm0735226,1
nm4334711,1
nm0281424,1
nm0001096,1
nm0729256,1
nm0000221,1
nm0000967,1
nm0000851,1
nm0929116,1
nm0363780,1
nm0006890,1
nm0432247,1
nm3022653,1
nm4175221,1
nm0641192,1
nm1223979,1
nm0835415,1
nm0121588,1
nm6518675,1
nm0737259,1
nm0000115,1
nm0285202,1
nm0686885,1
nm0016089,1
nm0802995,1
nm0052343,1
nm0830371,1
nm0507673,1
nm0336474,1
nm0214113,1
nm0601698,1
nm0641389,1
nm0001016,1
nm2771329,1
nm0076167,1
nm0427452,1
nm0794060,1
nm0236866,1
nm0181920,1
nm0191520,1
nm0265668,1
nm0764369,1
nm0369058,1
nm0922229,1
nm0235960,1
nm0218734,1
nm0634386,1
nm0123700,1
nm0491034,1
nm0290556,1
nm0000297,1
nm0635649,1
nm0001975,1
nm0001430,1
nm0808057,1
nm0295795,1
nm0269493,1
nm0751625,1
nm0154110,1
nm0496778,1
nm0007342,1
nm0700711,1
nm0281486,1
nm0000501,1
nm3086712,1
nm0149505,1
nm0504516,1
nm3783307,1
nm0930695,1
nm3586347,1
nm1129962,1
nm0705956,1
nm2797744,1
nm0183921,1
nm0197855,1
nm3089057,1
nm6327727,1
nm0121364,1
nm0183823,1
nm0942046,1
nm0690303,1
nm0360389,1
nm0219062,1
nm3967854,1
nm1854386,1
nm0249187,1
nm0454651,1
nm0139588,1
nm0857425,1
nm0193260,1
nm0790688,1
nm0597388,1
nm0479471,1
nm1361530,1
nm0507644,1
nm0522481,1
nm0731426,1
nm0636278,1
nm0417017,1
nm1433588,1
nm0055549,1
nm0810550,1
nm2518733,1
nm0949350,1
nm6967441,1
nm0373314,1
nm0726295,1
nm0041172,1
nm0001970,1
nm0186191,1
nm0847054,1
nm0000902,1
nm0913475,1
nm0000417,1
nm0583141,1
nm0247604,1
nm0308039,1
nm0737963,1
nm0001679,1
nm0241121,1
nm0223290,1
nm0427659,1
nm0636441,1
nm0958831,1
nm2255973,1
nm0534856,1
nm0002253,1
nm0001673,1
nm0418079,1
nm0005562,1
nm0653425,1
nm0639529,1
nm0179786,1
nm0178114,1
nm0001155,1
nm0002014,1
nm0000620,1
nm4350114,1
nm0108298,1
nm0370035,1
nm0524306,1
nm0001115,1
nm0000901,1
nm0280682,1
nm0607579,1
nm0340926,1
nm0573926,1
nm0001618,1
nm0852965,1
nm0001627,1
nm0017519,1
nm0668271,1
nm0834504,1
nm0467916,1
nm0000453,1
nm1364624,1
nm0030653,1
nm0822477,1
nm0000169,1
nm3091777,1
nm0003248,1
nm0744331,1
nm1041023,1
nm1822659,1
nm0001524,1
nm0122881,1
nm0380806,1
nm0530249,1
nm0001759,1
nm0731507,1
nm0523229,1
nm0619802,1
nm1055413,1
nm0692677,1
nm2401020,1
nm0002073,1
nm0124079,1
nm0503443,1
nm0618057,1
nm0090225,1
nm1674947,1
nm2963873,1
nm0284436,1
nm0729635,1
nm0000348,1
nm0577627,1
nm0000842,1
nm2437361,1
nm0294401,1
nm0781232,1
nm0311473,1
nm0394077,1
nm0310804,1
nm0001154,1
nm0882607,1
nm0437304,1
nm0190139,1
nm0001358,1
nm0747806,1
nm0398703,1
nm0794425,1
nm0018093,1
nm0346653,1
nm0323483,1
nm0598356,1
nm0126960,1
nm0948685,1
nm0062593,1
nm0418909,1
nm0411903,1
nm0348409,1
nm0293422,1
nm0125593,1
nm0501697,1
nm1340638,1
nm0441592,1
nm0939991,1
nm0646768,1
nm0123972,1
nm0160985,1
nm0892891,1
nm0292433,1
nm0444786,1
nm0871432,1
nm0936728,1
nm1072611,1
nm0468003,1
nm0015874,1
nm0004429,1
nm0751289,1
nm0333701,1
nm0309107,1
nm0581308,1
nm0807649,1
nm0857147,1
nm0424765,1
nm3081796,1
nm0000803,1
nm0474855,1
nm0756964,1
nm0596310,1
nm0784038,1
nm3002919,1
nm0560076,1
nm0240638,1
nm0587061,1
nm5489754,1
nm2012635,1
nm0371687,1
nm0406592,1
nm0511100,1
nm0148041,1
nm0943237,1
nm0185163,1
nm1102053,1
nm0126049,1
nm0926183,1
nm0000683,1
nm2933542,1
nm0007995,1
nm5219130,1
nm0690141,1
nm0531095,1
nm0102787,1
nm0783991,1
nm0852670,1
nm0931302,1
nm0019996,1
nm7121595,1
nm0527996,1
nm13447236,1
nm0339011,1
nm0307995,1
nm0937930,1
nm0926209,1
nm6230258,1
nm0545352,1
nm0746125,1
nm2106637,1
nm0000069,1
nm0858833,1
nm0752813,1
nm0000151,1
nm0202331,1
nm0830967,1
nm0480099,1
nm2020278,1
nm0241173,1
nm0616068,1
nm0491005,1
nm0861034,1
nm0354560,1
nm0001030,1
nm0738042,1
nm0084642,1
nm2531628,1
nm0567135,1
nm0580882,1
nm0038942,1
nm0636268,1
nm0002081,1
nm0445812,1
nm0937978,1
nm0321930,1
nm0747759,1
nm0716709,1
nm0653288,1
nm0924479,1
nm0621987,1
nm0001902,1
nm0334603,1
nm1071252,1
nm0250724,1
nm0424635,1
nm0742438,1
nm0312890,1
nm0720106,1
nm0168595,1
nm0898252,1
nm0686857,1
nm0876138,1
nm0100692,1
nm0409132,1
nm0371918,1
nm0041136,1
nm0949237,1
nm0014242,1
nm0140865,1
